Variable	Coefficient
NFIC_MA0161.1	0.047
PLAG1_MA0163.1	0
SPI1_MA0080.2	0.0248
CREB1_MA0018.2	0
FOS..JUN_MA0099.2	0.68207
SP1_MA0079.2	0
ESR2_MA0258.1	-0.77635
ARNT..HIF1A_MA0259.1	0.14676
SOX10_MA0442.1	-0.04014
FOXA1_MA0148.2	0.00124
BATF..JUN_MA0462.1	0.7536
CDX2_MA0465.1	0.01199
CEBPB_MA0466.1	0.29481
DUX4_MA0468.1	-0.69756
E2F4_MA0470.1	0
E2F6_MA0471.1	0
ELF1_MA0473.1	0.10386
FLI1_MA0475.1	0.08093
FOS_MA0476.1	1.50964
FOSL1_MA0477.1	0.03139
FOSL2_MA0478.1	0.8196
FOXH1_MA0479.1	-0.02404
FOXP1_MA0481.1	0
HNF4G_MA0484.1	-0.21956
HSF1_MA0486.1	0
JUN_MA0488.1	0.17646
JUN.var.2._MA0489.1	0
JUNB_MA0490.1	0.38973
JUND_MA0491.1	-0.22384
JUND.var.2._MA0492.1	0
MAFF_MA0495.1	0.99317
MAFK_MA0496.1	0.16939
MEF2C_MA0497.1	-0.07054
MAF..NFE2_MA0501.1	0.80185
NFYB_MA0502.1	-0.41855
NR2C2_MA0504.1	0.4652
NRF1_MA0506.1	1.57215
POU2F2_MA0507.1	-0.20326
PRDM1_MA0508.1	0.78872
RFX5_MA0510.1	0
RUNX2_MA0511.1	0.61008
SMAD2..SMAD3..SMAD4_MA0513.1	0
SP2_MA0516.1	0.5557
STAT1..STAT2_MA0517.1	0
TCF7L2_MA0523.1	0.20259
TFAP2C_MA0524.1	0.3036
TP63_MA0525.1	1.86912
USF2_MA0526.1	0.27923
ZBTB33_MA0527.1	1.3349
ZNF263_MA0528.1	0.07444
AR_MA0007.2	0.0326
CEBPA_MA0102.3	0.19254
E2F1_MA0024.2	0.52194
EBF1_MA0154.2	0
EGR1_MA0162.2	0
ELK4_MA0076.2	0.88202
ESR2_MA0258.2	-0.10677
FOXA1_MA0148.3	0
GATA2_MA0036.2	-0.38501
GATA3_MA0037.2	-0.03201
HNF4A_MA0114.2	-0.3619
IRF1_MA0050.2	0.01603
MAX_MA0058.2	-0.08054
MEF2A_MA0052.2	0
NFKB1_MA0105.3	0.0932
NFYA_MA0060.2	-0.36388
PAX5_MA0014.2	0
SP1_MA0079.3	0.05856
SRF_MA0083.2	0.51482
STAT1_MA0137.3	0.09135
STAT3_MA0144.2	0
GATA1..TAL1_MA0140.2	0
TFAP2A_MA0003.2	0.05852
TP53_MA0106.2	1.81387
USF1_MA0093.2	0
YY1_MA0095.2	0.1985
ZEB1_MA0103.2	0
ESRRA_MA0592.1	-0.1923
FOXP2_MA0593.1	-0.19071
SREBF1_MA0595.1	-0.06487
SREBF2_MA0596.1	-0.43028
THAP1_MA0597.1	0.0711
EHF_MA0598.1	0.06406
KLF5_MA0599.1	0.13111
RFX2_MA0600.1	0
DMRT3_MA0610.1	-0.04891
EMX1_MA0612.1	0.05012
FOXG1_MA0613.1	0.01356
LBX1_MA0618.1	-0.10114
NFATC3_MA0625.1	-0.03619
POU6F1_MA0628.1	0
SHOX_MA0630.1	-0.09712
ALX3_MA0634.1	-0.03892
BARHL2_MA0635.1	-0.00611
BHLHE41_MA0636.1	0
CENPB_MA0637.1	0.50145
CREB3_MA0638.1	1.55844
DBP_MA0639.1	0.01149
EBF1_MA0154.3	0
EHF_MA0598.2	0
ELF3_MA0640.1	0
ELF4_MA0641.1	0.0354
ELF5_MA0136.2	0.30333
EN1_MA0027.2	0
EN2_MA0642.1	0
ESX1_MA0644.1	-0.08873
ETV6_MA0645.1	0.20508
FLI1_MA0475.2	0
FOXI1_MA0042.2	0.04395
FOXL1_MA0033.2	-0.04752
FOXO3_MA0157.2	0.12944
GCM1_MA0646.1	1.42249
GRHL1_MA0647.1	0.08364
GSC_MA0648.1	0
HEY2_MA0649.1	0
HINFP_MA0131.2	0.42514
HLF_MA0043.2	0
HNF1A_MA0046.2	0.26566
HNF1B_MA0153.2	-0.63989
HOXA13_MA0650.1	0.03559
HOXC11_MA0651.1	0.49451
HSF1_MA0486.2	0.53496
IRF8_MA0652.1	0
IRF9_MA0653.1	0
ISX_MA0654.1	-0.09484
JDP2_MA0655.1	0.3509
JDP2.var.2._MA0656.1	0.24577
KLF13_MA0657.1	0
LHX6_MA0658.1	0
MAFG_MA0659.1	0
MEF2B_MA0660.1	0
MEOX1_MA0661.1	-0.02239
MIXL1_MA0662.1	0
MLX_MA0663.1	0
MLXIPL_MA0664.1	0.04501
MSC_MA0665.1	0
MSX1_MA0666.1	0.0946
MYF6_MA0667.1	0
NEUROD2_MA0668.1	0.04303
NEUROG2_MA0669.1	-0.08957
NFIA_MA0670.1	0.06107
NFIX_MA0671.1	0.06064
NHLH1_MA0048.2	0.23077
NKX2.3_MA0672.1	-0.12045
NKX2.8_MA0673.1	-0.14937
NKX6.1_MA0674.1	-0.07484
NKX6.2_MA0675.1	0
OLIG2_MA0678.1	0
ONECUT1_MA0679.1	0
PAX4_MA0068.2	-0.12809
PAX7_MA0680.1	0
POU4F2_MA0683.1	1.17454
RUNX3_MA0684.1	0.25719
SP4_MA0685.1	0.19014
SPDEF_MA0686.1	0
SPI1_MA0080.4	-0.53695
SPIC_MA0687.1	-0.19313
SRF_MA0083.3	0
T_MA0009.2	-0.63044
TBX2_MA0688.1	0
TBX20_MA0689.1	-0.11706
TBX21_MA0690.1	0
TEAD1_MA0090.2	0.09582
TFAP4_MA0691.1	0.27973
TFCP2_MA0145.3	0.87867
TFEB_MA0692.1	0.36327
ZBTB7B_MA0694.1	0
ZBTB7C_MA0695.1	0
ZIC1_MA0696.1	-2.09244
ZIC3_MA0697.1	0
ZBTB18_MA0698.1	0.51077
LBX2_MA0699.1	-0.05844
LHX2_MA0700.1	0
LHX9_MA0701.1	0
LMX1A_MA0702.1	0
LMX1B_MA0703.1	0
MEOX2_MA0706.1	0
MNX1_MA0707.1	0
MSX2_MA0708.1	0
NKX3.2_MA0122.2	-0.04635
NOTO_MA0710.1	0
OTX1_MA0711.1	-0.42872
OTX2_MA0712.1	0
PDX1_MA0132.2	0.18702
PHOX2A_MA0713.1	-0.3839
PITX3_MA0714.1	0
PROP1_MA0715.1	0
PRRX1_MA0716.1	-0.02359
RAX2_MA0717.1	0
RAX_MA0718.1	0
RHOXF1_MA0719.1	-0.24485
UNCX_MA0721.1	0
VAX1_MA0722.1	0
VAX2_MA0723.1	0.15069
VENTX_MA0724.1	0
VSX1_MA0725.1	0
VSX2_MA0726.1	0
ESR1_MA0112.3	3.09483
ESRRB_MA0141.3	0
NR2F1_MA0017.2	-0.07507
NR3C1_MA0113.3	1.04583
NR3C2_MA0727.1	0
RARA_MA0729.1	0
RARA.var.2._MA0730.1	0
BCL6B_MA0731.1	0
EGR2_MA0472.2	0
EGR3_MA0732.1	-0.5679
EGR4_MA0733.1	0.04828
GLI2_MA0734.1	-0.59212
GLIS1_MA0735.1	0
GLIS2_MA0736.1	0
GLIS3_MA0737.1	-0.37385
HIC2_MA0738.1	0
KLF14_MA0740.1	0.6327
KLF16_MA0741.1	0.16526
SCRT1_MA0743.1	0.93675
SCRT2_MA0744.1	-0.377
SNAI2_MA0745.1	-0.14995
SP3_MA0746.1	0.08118
SP8_MA0747.1	0.21381
YY2_MA0748.1	1.06482
ZBED1_MA0749.1	0
ZBTB7A_MA0750.1	0.29106
ZIC4_MA0751.1	0
ZNF143_MA0088.2	0
ZNF410_MA0752.1	0
ZNF740_MA0753.1	0
CUX1_MA0754.1	-0.36792
CUX2_MA0755.1	-0.10647
ONECUT2_MA0756.1	-0.6158
ONECUT3_MA0757.1	-0.27325
E2F3_MA0469.2	0
E2F7_MA0758.1	0
ELF1_MA0473.2	0
ELK3_MA0759.1	0
ERF_MA0760.1	0
ERG_MA0474.2	0
ETS1_MA0098.3	0.18329
ETV1_MA0761.1	0
ETV2_MA0762.1	0
ETV3_MA0763.1	0
ETV4_MA0764.1	-0.09123
ETV5_MA0765.1	0.20973
FEV_MA0156.2	0
GATA5_MA0766.1	0.04444
GCM2_MA0767.1	0.02787
LEF1_MA0768.1	-0.80426
HSF2_MA0770.1	0
HSF4_MA0771.1	0
IRF7_MA0772.1	1.11757
MEF2A_MA0052.3	0.20991
MEF2D_MA0773.1	0
MEIS1_MA0498.2	-0.0318
MEIS2_MA0774.1	0.0592
MEIS3_MA0775.1	0.00525
MYBL1_MA0776.1	-0.07899
MYBL2_MA0777.1	0
NFKB1_MA0105.4	0.89307
NFKB2_MA0778.1	-0.00296
PAX1_MA0779.1	1.15344
PAX3_MA0780.1	0
PAX9_MA0781.1	0
PKNOX1_MA0782.1	-0.49413
PKNOX2_MA0783.1	0
POU1F1_MA0784.1	0.5231
POU2F1_MA0785.1	0
POU3F1_MA0786.1	0
POU3F2_MA0787.1	-0.05104
POU3F3_MA0788.1	-0.22774
POU3F4_MA0789.1	0
POU4F1_MA0790.1	0
POU4F3_MA0791.1	0
POU5F1B_MA0792.1	-0.12504
POU6F2_MA0793.1	0.01735
PROX1_MA0794.1	-0.35446
RFX2_MA0600.2	1.26425
SMAD3_MA0795.1	0
TGIF1_MA0796.1	-0.00234
TGIF2_MA0797.1	-0.50296
RFX3_MA0798.1	0
RFX4_MA0799.1	0
RFX5_MA0510.2	0
RUNX2_MA0511.2	0.05706
EOMES_MA0800.1	-0.13722
MGA_MA0801.1	0
TBR1_MA0802.1	0
TBX15_MA0803.1	-0.22207
TBX19_MA0804.1	0
TBX1_MA0805.1	-0.18754
TBX4_MA0806.1	0
TBX5_MA0807.1	0
TEAD3_MA0808.1	0.10016
TEAD4_MA0809.1	0.26033
TFAP2A.var.2._MA0810.1	0.07675
TFAP2A_MA0003.3	0.32624
TFAP2B_MA0811.1	0.19053
TFAP2B.var.2._MA0812.1	0
TFAP2B.var.3._MA0813.1	0.01551
TFAP2C_MA0524.2	0
TFAP2C.var.2._MA0814.1	-0.17397
TFAP2C.var.3._MA0815.1	0.57783
BHLHE40_MA0464.2	0.29376
BHLHE23_MA0817.1	0
BHLHE22_MA0818.1	0
CLOCK_MA0819.1	0.08619
FIGLA_MA0820.1	0.05653
HES5_MA0821.1	-0.50825
HES7_MA0822.1	0
HEY1_MA0823.1	-0.1593
ID4_MA0824.1	-0.05406
MAX_MA0058.3	0.10554
MNT_MA0825.1	-0.08954
OLIG1_MA0826.1	0
OLIG3_MA0827.1	0.17342
SREBF2.var.2._MA0828.1	0
TCF3_MA0522.2	-0.2199
TCF4_MA0830.1	0
TFE3_MA0831.1	0
ATF4_MA0833.1	0.9764
ATF7_MA0834.1	1.02682
BATF3_MA0835.1	0
CEBPB_MA0466.2	0
CEBPD_MA0836.1	-0.40074
CEBPE_MA0837.1	0.54904
CEBPG_MA0838.1	0
CREB3L1_MA0839.1	-0.54331
NFE2_MA0841.1	0
NRL_MA0842.1	0.00595
TEF_MA0843.1	0
XBP1_MA0844.1	0
FOXB1_MA0845.1	0
FOXC1_MA0032.2	0
FOXC2_MA0846.1	-0.09516
FOXD2_MA0847.1	0
FOXO4_MA0848.1	0.01003
FOXO6_MA0849.1	0.07557
FOXP3_MA0850.1	0.02113
RXRB_MA0855.1	0
RXRG_MA0856.1	0
TP63_MA0525.2	0
TP53_MA0106.3	0
TP73_MA0861.1	1.64729
GMEB2_MA0862.1	0.55118
MTF1_MA0863.1	0
E2F1_MA0024.3	0
E2F2_MA0864.1	0
E2F8_MA0865.1	0
SOX21_MA0866.1	-0.51643
SOX4_MA0867.1	0
SOX8_MA0868.1	0
TFEC_MA0871.1	0
TFAP2A.var.3._MA0872.1	0
ELK1_MA0028.2	0
HOXD12_MA0873.1	0.1099
BARX1_MA0875.1	-0.03633
BSX_MA0876.1	0
CDX1_MA0878.1	0
DLX6_MA0882.1	-0.07836
DUXA_MA0884.1	0
EMX2_MA0886.1	0
EVX1_MA0887.1	0.08192
EVX2_MA0888.1	0
GBX1_MA0889.1	0
GBX2_MA0890.1	0
GSC2_MA0891.1	0.53566
GSX1_MA0892.1	-0.05996
GSX2_MA0893.1	-0.01468
HESX1_MA0894.1	-0.05751
HMBOX1_MA0895.1	0.02129
HOXA10_MA0899.1	0
HOXA2_MA0900.1	0.00729
HOXB13_MA0901.1	0.02888
HOXB2_MA0902.1	0
HOXB3_MA0903.1	0.0217
HOXC10_MA0905.1	-0.09976
HOXC12_MA0906.1	0
HOXC13_MA0907.1	-0.18112
HOXD11_MA0908.1	0.07448
HOXD13_MA0909.1	-0.0703
ISL2_MA0914.1	0
